source,source_rank,case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,coarse_replay_max_error_mm,coarse_max_force_N,coarse_max_drive_disp_mm,coarse_max_jl_condition,coarse_constraint_failures,coarse_ik_failures,coarse_objective_score,resampling_factor,n_samples,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_step_disp_mm,max_step_force_N,step_disp_limit_mm,step_force_limit_N,constraint_failures,replay_exit_failures,execution_feasible,execution_score,failure_message
local_refined,12,1012,3,50,0.85:1.00:1.15,0.85,1,1.15,0.151693927685269,164.924045420831,2.53803665288715,3.79700613549773,2,51,165.408010683331,5,266,0.0596369902346388,0.15753673712893,164.797756652388,2.5355884512672,0.144440054705583,15.1527269375285,0.18,18,0,0,1,2.84100416544815,
local_refined,13,1013,3,60,0.75:1.00:1.25,0.75,1,1.25,0.149575620867052,147.351889102421,2.62343434188533,3.80218760469271,2,51,165.327910901533,5,266,0.0589858776647239,0.158911837675704,147.218556564951,2.62085412323942,0.151815018843801,13.158174275163,0.18,18,0,0,1,2.75733976133677,
local_refined,14,1014,3,60,0.80:1.00:1.20,0.8,1,1.2,0.150431517825469,154.331272924219,2.58416159677688,3.78166523582299,2,51,165.357737919979,5,266,0.0592266222259672,0.158096316594563,154.185761758685,2.58164063567161,0.148376178069926,13.5926292930827,0.18,18,0,0,1,2.78168933513983,
local_refined,15,1015,3,60,0.85:1.00:1.15,0.85,1,1.15,0.151693927672784,160.570568352947,2.53803665290969,3.79700613549773,2,51,165.383824699578,5,266,0.059636956036024,0.157536697553707,160.412894265952,2.53558845128996,0.144440054706471,13.9766811538128,0.18,18,0,0,1,2.8003096913458,
local_refined,16,1016,3,70,0.75:1.00:1.25,0.75,1,1.25,0.149575622002615,158.548658539787,2.62343434189173,3.8021876046927,2,51,165.390115180729,5,266,0.0589858626811304,0.158911831736259,158.419163297549,2.62085412324586,0.151815018844037,14.6130484161566,0.18,18,0,0,1,2.83977191583173,
local_refined,17,1017,3,70,0.80:1.00:1.20,0.8,1,1.2,0.150431518910576,166.305346463211,2.58416159679496,3.78166523582299,2,51,165.424260555097,5,266,0.0592266069494994,0.158096306329621,166.165084393835,2.58164063568975,0.148376178070508,15.084593819048,0.18,18,0,0,1,2.86896281603117,
local_refined,18,1018,3,70,0.85:1.00:1.15,0.85,1,1.15,0.151693928698736,173.190486727093,2.53803665295121,3.79700613549773,2,51,165.453935361328,5,266,0.0596369393606829,0.157536679815943,173.039404435624,2.53558845133153,0.144440054707762,15.4994137875897,0.18,18,0,0,1,2.89160596348755,
local_refined,19,1019,3.2,50,0.75:1.00:1.25,0.75,1,1.25,0.149146966592714,141.457263129127,2.79904611214749,3.80218760469271,2,51,165.34666405032,5,266,0.0555457588756869,0.153992319476925,141.353867976271,2.79629274413164,0.161982588190876,13.4330446224795,0.18,18,0,0,1,2.77618257152929,
local_refined,20,1020,3.2,50,0.80:1.00:1.20,0.8,1,1.2,0.150023221223951,148.591355069158,2.75714085230916,3.78166523582299,2,51,165.376634257266,5,266,0.0558034184115029,0.153203070507641,148.480354170352,2.75445072000144,0.158313074746605,13.8568789156412,0.18,18,0,0,1,2.80025771322016,
local_refined,21,1021,3.2,50,0.85:1.00:1.15,0.85,1,1.15,0.151306163162768,154.883678532725,2.70792269866642,3.79700613549773,2,51,165.402160429129,5,266,0.0562211058450641,0.152654619722017,154.764952964473,2.70531021682069,0.154112822670388,14.22801098247,0.18,18,0,0,1,2.81775985839834,
