case_id,drive_offset_mm,phase_step_deg,length_ratio_label,L1_ratio,L2_ratio,L3_ratio,plan_mean_error_mm,plan_max_error_mm,replay_mean_error_mm,replay_max_error_mm,max_force_N,max_drive_disp_mm,max_jl_condition,mean_jl_condition,max_iterations,mean_iterations,constraint_utilization,constraint_failures,ik_failures,replay_exit_failures,feasible,objective_score,failure_message
28,3.5,60,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0496435155694411,0.156733855182665,154.187931827809,2.74829806092114,4.04891733952231,4.04891733952231,3,2.46296296296296,4.11436146341588,2,51,0,0,165.437820418323,
19,3.5,30,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0496435826719641,0.156733857399671,154.19835254743,2.74829806079355,4.04891733952231,4.04891733952231,3,2.46296296296296,4.11436146307333,2,51,0,0,165.437878320039,
43,4,60,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0451336858142925,0.156398732230917,135.332565726176,3.14197222367865,4.04891733952231,4.04891733952231,3,2.53703703703704,4.70385297743255,2,51,0,0,165.451023093454,
34,4,30,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0451337635110512,0.156398734461094,135.346352254512,3.14197222354849,4.04891733952231,4.04891733952231,3,2.53703703703704,4.70385297708491,2,51,0,0,165.451099694159,
25,3.5,50,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0496435859909642,0.156733855111272,156.954099093221,2.74829806073344,4.0489173395223,4.0489173395223,3,2.46296296296296,4.11436146306439,2,51,0,0,165.453188013899,
16,3.5,20,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0496435156806345,0.156733857213736,156.957046589717,2.74829806102544,4.04891733952231,4.04891733952231,3,2.46296296296296,4.11436146343161,2,51,0,0,165.453204397378,
13,3,60,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0569453084886885,0.157365436206845,179.1470788466,2.35445990912186,4.04891733952231,4.04891733952231,3,2.40740740740741,4.20670718895751,2,51,0,0,165.459663775817,
4,3,30,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0569453647723273,0.157365438449727,179.154598941106,2.3544599089976,4.04891733952231,4.04891733952231,3,2.40740740740741,4.20689028074693,2,51,0,0,165.459705563054,
40,4,50,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0451337674439733,0.156398732148887,137.754463335596,3.141972223488,4.04891733952231,4.04891733952231,3,2.53703703703704,4.70385297707643,2,51,0,0,165.464478079787,
31,4,20,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0451336875633367,0.156398734289044,137.758369005925,3.14197222378357,4.04891733952231,4.04891733952231,3,2.53703703703704,4.70385297744712,2,51,0,0,165.464499786605,
22,3.5,40,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0496436179361805,0.156733856202909,165.561242055953,2.74829806068674,4.04891733952231,4.04891733952231,3,2.46296296296296,4.11436146293902,2,51,0,0,165.501005479156,
37,4,40,1:1:1,1,1,1,0.0334367165306216,0.155722889406074,0.0451338040125652,0.15639873324478,145.314544876762,3.14197222344034,4.04891733952231,4.04891733952231,3,2.53703703703704,4.70385297694922,2,51,0,0,165.506478537162,
29,3.5,60,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0574641843713217,0.168692354542897,161.959743698703,2.56113245034251,4.94140210330415,4.94140210330415,3,2.5,3.78471974141204,2,52,0,0,168.489416553732,
20,3.5,30,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0574648826928053,0.168692356068021,161.987421015725,2.56113244917056,4.94140210330415,4.94140210330415,3,2.5,3.78536919476424,2,52,0,0,168.489570322349,
44,4,60,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0522435413052635,0.168417382875079,142.220808699273,2.92788149777611,4.94140210330416,4.94140210330416,3,2.53703703703704,4.25583927025715,2,52,0,0,168.489791992043,
35,4,30,1.2:1:0.8,1.2,1,0.8,0.0385672083935816,0.167890249476718,0.0522443463753599,0.168417384391216,142.257462433487,2.92788149658375,4.94140210330416,4.94140210330415,3,2.53703703703704,4.25583926795459,2,52,0,0,168.489995629603,
